src_subject_id,eventname,reshist_addr1_adi_edu_l,reshist_addr1_adi_edu_h,reshist_addr1_adi_work_c,reshist_addr1_adi_income,reshist_addr1_adi_in_dis,reshist_addr1_adi_home_v,reshist_addr1_adi_rent,reshist_addr1_adi_mortg,reshist_addr1_adi_home_o,reshist_addr1_adi_crowd,reshist_addr1_adi_unemp,reshist_addr1_adi_pov,reshist_addr1_adi_b138,reshist_addr1_adi_sp,reshist_addr1_adi_ncar,reshist_addr1_adi_ntel,reshist_addr1_adi_nplumb,reshist_addr1_adi_wsum,reshist_addr1_adi_perc,reshist_addr2_adi_edu_l,reshist_addr2_adi_edu_h,reshist_addr2_adi_work_c,reshist_addr2_adi_income,reshist_addr2_adi_in_dis,reshist_addr2_adi_home_v,reshist_addr2_adi_rent,reshist_addr2_adi_mortg,reshist_addr2_adi_home_o,reshist_addr2_adi_crowd,reshist_addr2_adi_unemp,reshist_addr2_adi_pov,reshist_addr2_adi_b138,reshist_addr2_adi_sp,reshist_addr2_adi_ncar,reshist_addr2_adi_ntel,reshist_addr2_adi_nplumb,reshist_addr2_adi_wsum,reshist_addr2_adi_perc,reshist_addr3_adi_edu_l,reshist_addr3_adi_edu_h,reshist_addr3_adi_work_c,reshist_addr3_adi_income,reshist_addr3_adi_in_dis,reshist_addr3_adi_home_v,reshist_addr3_adi_rent,reshist_addr3_adi_mortg,reshist_addr3_adi_home_o,reshist_addr3_adi_crowd,reshist_addr3_adi_unemp,reshist_addr3_adi_pov,reshist_addr3_adi_b138,reshist_addr3_adi_sp,reshist_addr3_adi_ncar,reshist_addr3_adi_ntel,reshist_addr3_adi_nplumb,reshist_addr3_adi_wsum,reshist_addr3_adi_perc
NDAR_INVHBTY6XD9,baseline_year_1_arm_1,3.3815398,96.10804,98.870056,118287,1.5934507,439300,1773,2024,41.529346,2.4676125,8.186739,1.4925373,9.331605,0.74626863,3.4546576,2.93029,0.5803299,71.97802,9,1.580403,95.06124,98.097565,91034,2.3256562,1000001,1678,2693,40.622196,1.9460138,9.131206,6.5625,16.691416,21.5625,7.3446326,2.1343377,0.79656863,22.569452,2,,,,,,,,,,,,,,,,,,,
NDAR_INVHBUKR2VY,baseline_year_1_arm_1,1.6150297,92.97957,95.216576,66250,1.5681454,165100,973,1181,82.32973,6.0786653,6.743941,5.1996984,16.22272,12.207988,1.3706794,1.0727056,0,105.06311,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHF44URL8,baseline_year_1_arm_1,2.7647495,95.01358,93.07669,81551,2.2605245,149400,732,1100,80.33283,0,4.6657186,3.960396,10.94697,13.02361,4.517134,2.9595015,0,104.52697,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHF6GWUE0,baseline_year_1_arm_1,2.908489,87.82218,85.02974,64901,0.77372766,168900,765,1153,83.98899,1.5918958,8.191748,4.7253394,10.325295,15.829887,0.5788712,2.0742884,0,104.91138,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHJ09MKKG,baseline_year_1_arm_1,6.133333,73.67619,96.05569,45132,3.6255436,88700,606,659,63.239246,5.781866,9.690938,18.761063,32.74893,23.00885,10.512484,2.956636,0,115.22774,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHJ23NRWV,baseline_year_1_arm_1,0,96.0355,93.85475,104936,0,331600,1629,1804,87.39451,2.1303258,5.0249686,5.2558784,9.43634,12.378977,0.4385965,1.0651629,0,83.98858,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHLUGZ533,baseline_year_1_arm_1,10.721037,83.76991,88.3779,33224,3.2727191,263300,957,1611,14.360804,8.397992,8.928572,26.82243,42.902924,27.850468,11.364674,7.8502965,1.8961253,100.18872,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHLX109UP,baseline_year_1_arm_1,4.816465,83.47125,90.06024,46912,3.310443,85500,512,576,73.46315,0.2861815,9.536785,16.37324,26.629124,14.964788,9.116925,2.166803,0,115.30588,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHM08N3Y0,baseline_year_1_arm_1,0.63060075,96.813805,96.28236,119423,0.6523252,310300,1375,1640,97.7515,0,4.3654366,1.7647059,4.381085,3.8970587,1.8796992,2.3182957,0.4842615,84.09893,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHBY686Y9,baseline_year_1_arm_1,2.1474173,91.93268,96.17622,78857,2.6361377,206800,1049,1327,79.89805,0.6993007,7.7100115,4.7909408,13.010319,6.271777,2.4475524,0.999001,0.23674242,99.40353,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHBZ05H20,baseline_year_1_arm_1,2.3521025,96.86386,94.24824,161048,1.465504,596900,2001,3555,95.7483,0,5.076628,2.5688074,4.147353,7.9816513,3.9748955,2.8591354,0.73138297,51.14565,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHF78353F,baseline_year_1_arm_1,2.2917497,93.76246,92.59953,92816,-1.0291729,222200,1326,1426,90.979416,1.1952192,4.431513,1.2782694,2.6242545,11.061947,1.2676567,1.376313,0,96.03012,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHF7RHL7L,baseline_year_1_arm_1,13.361735,69.79086,93.93498,52500,2.1788936,454600,1260,1905,13.931665,16.64212,5.890411,16.07565,33.517807,21.276596,5.007364,2.8718703,2.7155466,79.447845,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHJ29TGE0,baseline_year_1_arm_1,1.659751,91.72718,93.31519,102898,2.3046563,265800,1020,1563,79.7556,1.1294118,9.337562,2.5748086,11.22449,3.5490606,6.3058825,0,0,90.57572,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHJ39DTK5,baseline_year_1_arm_1,8.852193,84.62371,96.20253,48125,2.6497812,272700,930,1548,58.53972,7.1049843,8.655435,21.4596,35.589836,34.231102,12.672322,1.8027571,0,97.301895,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHMFGD3EC,baseline_year_1_arm_1,1.0965936,98.15679,94.886734,74171,1.1860065,267800,1295,1550,69.7364,0,6.8435335,5.285802,14.539607,14.935464,5.7441254,1.261967,0.6962576,94.21669,27,0.35874438,98.11659,93.72791,110469,0.2671535,332800,1480,1417,91.64445,0.55679286,6.058091,1.1329305,3.3606014,9.667674,0.5011136,0,0,83.18685,16,,,,,,,,,,,,,,,,,,,
NDAR_INVHC076FG3,baseline_year_1_arm_1,0.8874967,96.267296,94.03485,104420,0.98996174,241400,1133,1566,85.97078,0,3.8969405,0.60642815,5.559465,7.76228,1.0638298,1.1605415,0,92.66264,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHC1X3YL0,baseline_year_1_arm_1,4.7694755,88.36248,95.006454,77404,2.0668383,215800,861,1480,82.01212,1.6882386,5.7988644,9.715243,17.61542,11.557789,10.467079,1.3505908,0,98.75485,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHFAK7N6M,baseline_year_1_arm_1,2.5071406,92.41511,96.414536,68287,2.249881,129700,528,1010,88.997894,0,4.948646,3.4987795,9.573725,9.519935,6.013746,0.5727377,0,108.200195,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHFB480XX,baseline_year_1_arm_1,0.90966785,96.14978,95.5835,86765,0.77947086,245500,1007,1299,51.73527,0.8307373,3.5543017,3.0671296,10.508474,12.5,1.2114918,2.3883696,0,94.69151,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHJ7JV8XN,baseline_year_1_arm_1,1.9883041,97.77778,91.13856,82248,1.1151112,173800,831,1508,90.975105,0.5502063,5.289929,4.347826,7.8137126,12.560387,1.4442916,0,0,102.07046,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHJ8TZ0PJ,baseline_year_1_arm_1,0.86455333,95.594894,96.88826,79643,1.9195929,123000,793,1339,79.811714,1.0774411,6.6871977,4.2510123,10.512552,13.2591095,4.848485,1.8181819,0,107.24673,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHJAUY52L,baseline_year_1_arm_1,3.673913,82.76087,93.548386,44432,2.0249534,109700,1178,1009,80.447365,0.44014084,16.115454,21.702639,31.033943,12.94964,2.640845,1.1443661,0.13614704,113.233505,75,3.673913,82.76087,93.548386,44432,2.0249534,109700,1178,1009,80.447365,0.44014084,16.115454,21.702639,31.033943,12.94964,2.640845,1.1443661,0.13614704,113.233505,75,,,,,,,,,,,,,,,,,,,
NDAR_INVHMPR1WH3,baseline_year_1_arm_1,4.37788,72.06221,99.63735,31042,3.9209383,56800,908,728,36.74315,0.5444646,24.606972,31.648617,38.604355,58.122746,19.056261,4.7186933,1.4947683,120.10598,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHMPRZ376,baseline_year_1_arm_1,0.18765639,97.85238,98.59576,158309,0.97836316,360900,1685,2256,94.37882,0.38826576,5.4252615,1.197293,3.714245,3.1754296,0.6902502,1.2510785,0.37205458,73.99524,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHC96P1XH,baseline_year_1_arm_1,2.907855,92.33384,93.911545,79884,1.5870708,97300,1018,925,86.54169,1.0683761,6.798715,1.0067114,12.447434,6.823266,5.05698,4.5584044,0,109.66381,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHC9R0C16,baseline_year_1_arm_1,1.1377245,93.952095,93.50124,44052,3.1465552,178200,797,1129,30.397001,7.531056,7.9564967,15.749656,35.84248,24.277855,7.3369565,4.8136644,0,106.84052,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
